year,month,자치구코드,시간대구분,male_pop,female_pop
2019,1,11110,0,109610.4920516129,113967.93895806452
2019,1,11110,1,107580.43909354838,112346.10481612902
2019,1,11110,2,106583.2235483871,111611.41454193549
2019,1,11110,3,105918.1335516129,111189.4727483871
2019,1,11110,4,106010.45181290324,111845.03707419355
2019,1,11110,5,107166.69749354839,112391.1939967742
2019,1,11110,6,112807.5344516129,115052.63645806452
2019,1,11110,7,129291.7388451613,123030.94805806452
2019,1,11110,8,154249.78049677418,147583.57294193548
2019,1,11110,9,170112.00697419353,166920.07018064515
2019,1,11110,10,182721.85162258064,180835.59953870968
2019,1,11110,11,195350.12438709676,194799.57515483873
2019,1,11110,12,205530.49616129033,205464.46888387098
2019,1,11110,13,210889.90663870968,212738.5741096774
2019,1,11110,14,213328.3998451613,215679.18
2019,1,11110,15,211232.61705483872,213067.8717451613
2019,1,11110,16,204678.25420645162,204971.79632580644
2019,1,11110,17,192238.5871064516,192962.7105516129
2019,1,11110,18,174553.6045903226,175908.73182580643
2019,1,11110,19,159262.48123870968,161825.50588064519
2019,1,11110,20,146798.09517419356,150132.92389032256
2019,1,11110,21,133976.9077,137814.22949354837
2019,1,11110,22,121785.27381290322,124336.79287741936
2019,1,11110,23,112035.27699677419,115646.50061935483
2019,1,11140,0,92953.4749,93290.4734548387
2019,1,11140,1,90787.45920967741,91297.34523225807
2019,1,11140,2,89478.23085483871,90230.74714838709
2019,1,11140,3,88622.53477419355,89362.17795483871
2019,1,11140,4,88067.23462903226,88888.13205806451
2019,1,11140,5,88813.96076451613,88953.06784193548
2019,1,11140,6,96575.69286451614,93378.05599677419
2019,1,11140,7,116892.90484838709,105189.72197096774
2019,1,11140,8,158546.1861967742,146198.75961612904
2019,1,11140,9,180258.38371935484,173077.41113225807
2019,1,11140,10,192811.5456419355,188999.78401290323
2019,1,11140,11,202457.9808903226,203780.59867096774
2019,1,11140,12,210820.45396129033,215007.17526774193
2019,1,11140,13,215735.80559032256,221870.74567741936
2019,1,11140,14,216904.86643225804,222966.30523870967
2019,1,11140,15,214414.99252258064,217712.07157741935
2019,1,11140,16,208362.6675,208304.58945483872
2019,1,11140,17,196629.28253225808,192926.04275483874
2019,1,11140,18,170429.32446451613,164781.5393451613
2019,1,11140,19,149601.19706451613,145026.3825548387
2019,1,11140,20,134822.25126774193,131602.37452903227
2019,1,11140,21,120487.63054193549,118541.46501612903
2019,1,11140,22,108435.17828387098,106917.84616129033
2019,1,11140,23,96254.86541290322,95690.39942580645
2019,1,11170,0,127273.85608709678,138968.08101290322
2019,1,11170,1,126274.06124516128,138122.07130322582
2019,1,11170,2,125816.21748709677,137649.76531612902
2019,1,11170,3,125417.86174193549,137280.63431290325
